"","control_rep1","control_rep2","treated_rep1","treated_rep2"
"Gene4614",15,24,15,13
"Gene4615",6,7,20,16
"Gene4616",17,9,16,9
"Gene4617",12,23,7,4
"Gene4618",12,9,15,24
"Gene4619",7,14,9,8
"Gene4620",16,8,9,16
"Gene4621",19,6,25,13
"Gene4622",6,28,6,21
"Gene4623",7,7,11,15
"Gene4624",8,10,14,22
"Gene4625",19,8,6,31
"Gene4626",3,7,18,10
"Gene4627",21,17,18,17
"Gene4628",19,7,27,7
"Gene4629",12,8,2,17
"Gene4630",10,15,13,16
"Gene4631",15,3,14,2
"Gene4632",10,15,17,10
"Gene4633",13,20,6,11
"Gene4634",11,24,9,10
"Gene4635",19,5,15,3
"Gene4636",10,9,16,17
"Gene4637",8,11,13,16
"Gene4638",3,11,13,18
"Gene4639",17,11,14,7
"Gene4640",26,12,5,22
"Gene4641",7,23,11,21
"Gene4642",11,13,9,10
"Gene4643",14,19,14,21
"Gene4644",12,9,15,10
"Gene4645",7,4,6,12
"Gene4646",16,23,8,23
"Gene4647",10,20,11,10
"Gene4648",8,18,6,17
"Gene4649",21,11,10,14
"Gene4650",14,24,10,16
"Gene4651",4,8,28,10
"Gene4652",7,7,17,7
"Gene4653",13,14,15,8
"Gene4654",14,10,28,18
"Gene4655",21,6,12,8
"Gene4656",12,8,9,8
"Gene4657",10,13,22,2
"Gene4658",12,14,7,8
"Gene4659",19,5,6,6
"Gene4660",13,19,13,18
"Gene4661",23,9,7,9
"Gene4662",11,6,19,24
"Gene4663",10,22,8,14
"Gene4664",13,6,10,20
"Gene4665",10,17,20,12
"Gene4666",6,12,20,12
"Gene4667",13,9,14,15
"Gene4668",17,9,6,15
"Gene4669",14,12,6,9
"Gene4670",7,29,14,11
"Gene4671",12,9,15,3
"Gene4672",12,16,11,13
"Gene4673",8,6,7,11
"Gene4674",17,12,11,24
"Gene4675",23,11,16,10
"Gene4676",12,21,5,11
"Gene4677",6,23,9,7
"Gene4678",7,11,15,16
"Gene4679",16,10,22,10
"Gene4680",20,11,9,19
"Gene4681",4,15,12,19
"Gene4682",12,17,16,6
"Gene4683",11,22,11,7
"Gene4684",8,8,8,19
"Gene4685",8,14,4,18
"Gene4686",13,16,10,12
"Gene4687",21,15,10,8
"Gene4688",11,11,10,15
"Gene4689",7,11,19,15
"Gene4690",10,11,7,4
"Gene4691",8,19,12,18
"Gene4692",9,30,17,9
"Gene4693",13,11,20,15
"Gene4694",12,16,16,30
"Gene4695",6,9,14,11
"Gene4696",23,17,8,13
"Gene4697",26,9,12,10
"Gene4698",12,28,9,16
"Gene4699",18,3,12,15
"Gene4700",14,11,5,8
"Gene4701",24,17,13,17
"Gene4702",9,13,22,7
"Gene4703",20,32,12,9
"Gene4704",36,9,16,14
"Gene4705",9,11,11,12
"Gene4706",7,8,23,6
"Gene4707",13,6,12,9
"Gene4708",10,12,16,16
"Gene4709",27,5,5,22
"Gene4710",11,19,10,6
"Gene4711",9,9,4,18
"Gene4712",18,18,12,9
"Gene4713",9,25,10,7
"Gene4714",17,26,9,9
"Gene4715",9,22,15,4
"Gene4716",14,3,18,24
"Gene4717",9,17,24,6
"Gene4718",12,20,24,16
"Gene4719",7,10,3,21
"Gene4720",8,7,8,17
"Gene4721",18,11,14,18
"Gene4722",10,24,6,19
"Gene4723",17,11,8,12
"Gene4724",9,13,10,16
"Gene4725",9,14,23,16
"Gene4726",22,17,19,12
"Gene4727",6,8,20,12
"Gene4728",7,13,21,16
"Gene4729",11,14,7,12
"Gene4730",8,11,7,18
"Gene4731",13,8,8,8
"Gene4732",6,17,25,13
"Gene4733",10,14,5,12
"Gene4734",15,6,27,18
"Gene4735",11,11,6,13
"Gene4736",4,29,4,17
"Gene4737",18,15,5,11
"Gene4738",13,18,8,14
"Gene4739",22,14,30,9
"Gene4740",16,4,19,7
"Gene4741",10,6,17,11
"Gene4742",4,6,11,13
"Gene4743",22,7,15,13
"Gene4744",11,14,27,8
"Gene4745",20,6,15,15
"Gene4746",13,3,11,13
"Gene4747",10,9,15,3
"Gene4748",9,13,12,6
"Gene4749",11,18,10,10
"Gene4750",14,10,15,12
"Gene4751",20,23,14,10
"Gene4752",3,15,20,11
"Gene4753",28,5,16,12
"Gene4754",7,11,18,25
"Gene4755",6,12,12,16
"Gene4756",10,8,11,23
"Gene4757",7,8,16,12
"Gene4758",10,16,8,12
"Gene4759",9,9,16,3
"Gene4760",6,9,7,18
"Gene4761",8,10,10,15
"Gene4762",9,15,15,17
"Gene4763",7,14,20,13
"Gene4764",16,11,19,15
"Gene4765",10,12,15,6
"Gene4766",11,3,5,6
"Gene4767",7,5,8,5
"Gene4768",5,16,12,14
"Gene4769",11,7,15,7
"Gene4770",5,18,5,2
"Gene4771",14,3,15,16
"Gene4772",21,7,12,19
"Gene4773",11,15,7,16
"Gene4774",9,19,20,5
"Gene4775",5,25,14,13
"Gene4776",15,29,17,7
"Gene4777",11,6,13,12
"Gene4778",7,11,15,18
"Gene4779",12,10,25,10
"Gene4780",7,7,9,8
"Gene4781",19,16,4,15
"Gene4782",10,8,25,14
"Gene4783",12,8,16,8
"Gene4784",7,6,29,6
"Gene4785",13,10,9,15
"Gene4786",18,20,13,18
"Gene4787",3,4,20,6
"Gene4788",14,13,10,8
"Gene4789",25,21,10,12
"Gene4790",6,10,15,6
"Gene4791",20,19,13,17
"Gene4792",9,8,4,14
"Gene4793",7,22,11,16
"Gene4794",26,9,17,13
"Gene4795",18,12,7,6
"Gene4796",4,5,11,10
"Gene4797",6,9,15,14
"Gene4798",17,26,25,9
"Gene4799",2,17,6,25
"Gene4800",23,8,5,9
"Gene4801",10,2,3,15
"Gene4802",10,12,24,9
"Gene4803",13,18,32,17
"Gene4804",8,19,14,6
"Gene4805",6,19,5,10
"Gene4806",9,12,18,18
"Gene4807",20,18,17,12
"Gene4808",17,6,12,19
"Gene4809",15,12,11,23
"Gene4810",10,8,7,6
"Gene4811",20,17,16,18
"Gene4812",9,10,20,11
"Gene4813",24,10,14,13
"Gene4814",12,13,4,12
"Gene4815",13,12,12,7
"Gene4816",13,12,23,9
"Gene4817",16,9,10,6
"Gene4818",14,15,16,13
"Gene4819",6,6,8,18
"Gene4820",23,10,9,14
"Gene4821",10,14,4,8
"Gene4822",11,11,4,12
"Gene4823",16,12,5,18
"Gene4824",5,3,9,6
"Gene4825",10,18,10,7
"Gene4826",9,17,14,24
"Gene4827",12,12,6,17
"Gene4828",7,21,11,8
"Gene4829",10,13,9,13
"Gene4830",8,9,5,4
"Gene4831",18,11,28,12
"Gene4832",11,7,7,12
"Gene4833",16,10,4,9
"Gene4834",19,15,18,15
"Gene4835",29,7,16,10
"Gene4836",18,15,11,11
"Gene4837",12,19,4,29
"Gene4838",8,10,13,9
"Gene4839",19,17,11,21
"Gene4840",13,12,15,14
"Gene4841",14,9,30,12
"Gene4842",12,15,9,12
"Gene4843",8,14,9,14
"Gene4844",19,26,19,4
"Gene4845",9,10,12,23
"Gene4846",16,11,6,23
"Gene4847",22,11,24,9
"Gene4848",1,18,22,20
"Gene4849",8,8,8,11
"Gene4850",10,12,15,24
"Gene4851",7,8,11,19
"Gene4852",6,14,8,9
"Gene4853",12,4,15,5
"Gene4854",18,14,7,13
"Gene4855",16,11,21,14
"Gene4856",4,8,10,12
"Gene4857",6,11,15,13
"Gene4858",11,10,9,21
"Gene4859",12,10,7,6
"Gene4860",9,10,14,18
"Gene4861",9,27,20,17
"Gene4862",14,18,13,9
"Gene4863",7,8,15,9
"Gene4864",11,18,7,12
"Gene4865",20,17,11,9
"Gene4866",13,17,29,8
"Gene4867",19,13,19,5
"Gene4868",10,12,18,12
"Gene4869",5,14,16,13
"Gene4870",9,6,14,25
"Gene4871",12,16,12,6
"Gene4872",6,4,7,9
"Gene4873",16,25,2,18
"Gene4874",15,4,6,4
"Gene4875",12,7,9,6
"Gene4876",24,13,14,16
"Gene4877",14,19,9,11
"Gene4878",4,8,25,11
"Gene4879",16,29,10,17
"Gene4880",6,30,5,7
"Gene4881",18,12,9,15
"Gene4882",11,20,10,7
"Gene4883",16,30,12,13
"Gene4884",11,8,8,20
"Gene4885",23,9,7,6
"Gene4886",9,14,8,10
"Gene4887",21,17,9,9
"Gene4888",12,12,13,14
"Gene4889",22,17,16,13
"Gene4890",3,8,8,24
"Gene4891",10,6,22,6
"Gene4892",10,10,17,23
"Gene4893",14,20,14,16
"Gene4894",8,12,20,11
"Gene4895",16,10,17,18
"Gene4896",11,28,14,12
"Gene4897",14,10,7,12
"Gene4898",10,9,20,10
"Gene4899",11,23,7,14
"Gene4900",26,26,14,11
"Gene4901",9,14,12,31
"Gene4902",37,7,8,4
"Gene4903",24,17,31,9
"Gene4904",12,11,25,11
"Gene4905",5,9,8,14
"Gene4906",14,13,7,16
"Gene4907",9,3,11,16
"Gene4908",13,17,15,20
"Gene4909",17,13,3,5
"Gene4910",5,14,15,16
"Gene4911",11,16,5,16
"Gene4912",12,16,22,32
"Gene4913",14,11,26,2
"Gene4914",16,10,17,16
"Gene4915",6,15,9,8
"Gene4916",19,10,21,6
"Gene4917",8,10,9,11
"Gene4918",12,10,20,10
"Gene4919",11,12,7,2
"Gene4920",7,13,14,13
"Gene4921",6,12,14,11
"Gene4922",15,15,4,9
"Gene4923",14,12,9,18
"Gene4924",17,16,11,12
"Gene4925",19,12,15,10
"Gene4926",4,18,29,5
"Gene4927",9,14,8,7
"Gene4928",10,18,14,16
"Gene4929",18,7,12,8
"Gene4930",10,10,20,9
"Gene4931",4,6,13,14
"Gene4932",13,5,22,13
"Gene4933",14,17,14,20
"Gene4934",13,3,6,9
"Gene4935",6,11,14,14
"Gene4936",4,13,20,12
"Gene4937",14,15,5,9
"Gene4938",9,10,17,8
"Gene4939",14,10,22,20
"Gene4940",13,17,7,5
"Gene4941",14,8,32,17
"Gene4942",15,17,10,9
"Gene4943",6,9,16,20
"Gene4944",7,3,20,23
"Gene4945",10,4,10,5
"Gene4946",6,19,9,7
"Gene4947",22,8,6,10
"Gene4948",16,26,8,20
"Gene4949",14,13,17,11
"Gene4950",8,27,14,22
"Gene4951",23,26,19,6
"Gene4952",17,18,12,4
"Gene4953",9,9,9,11
"Gene4954",16,25,4,5
"Gene4955",2,10,6,10
"Gene4956",15,15,11,11
"Gene4957",17,11,6,14
"Gene4958",28,7,10,12
"Gene4959",9,6,7,13
"Gene4960",15,8,8,11
"Gene4961",21,12,10,13
"Gene4962",10,9,20,10
"Gene4963",7,14,12,10
"Gene4964",12,13,8,10
"Gene4965",4,12,9,11
"Gene4966",11,19,8,4
"Gene4967",25,7,9,6
"Gene4968",12,18,12,16
"Gene4969",5,35,18,20
"Gene4970",19,24,6,16
"Gene4971",6,11,12,16
"Gene4972",14,5,13,14
"Gene4973",4,10,16,4
"Gene4974",8,3,23,15
"Gene4975",12,20,6,30
"Gene4976",11,5,25,11
"Gene4977",12,6,7,6
"Gene4978",13,19,15,14
"Gene4979",22,7,19,8
"Gene4980",10,12,21,12
"Gene4981",12,12,7,24
"Gene4982",13,7,5,14
"Gene4983",9,7,10,5
"Gene4984",15,13,5,8
"Gene4985",13,13,16,14
"Gene4986",31,20,11,9
"Gene4987",9,9,22,7
"Gene4988",9,15,14,13
"Gene4989",15,9,5,6
"Gene4990",7,14,15,11
"Gene4991",14,9,14,6
"Gene4992",12,10,14,16
"Gene4993",21,4,6,25
"Gene4994",16,8,14,15
"Gene4995",8,12,14,9
"Gene4996",13,16,16,20
"Gene4997",8,12,26,11
"Gene4998",8,18,11,13
"Gene4999",7,12,5,17
"Gene5000",17,12,14,26
"Gene5001",21,21,21,36
"Gene5002",6,11,9,16
"Gene5003",6,30,4,22
"Gene5004",19,8,11,15
"Gene5005",11,8,16,9
"Gene5006",16,10,17,11
"Gene5007",9,23,9,8
"Gene5008",12,16,11,14
"Gene5009",15,8,19,11
"Gene5010",11,11,13,13
"Gene5011",8,12,15,7
"Gene5012",11,13,13,2
"Gene5013",11,14,12,15
"Gene5014",23,11,20,10
"Gene5015",11,4,19,17
"Gene5016",6,21,25,30
"Gene5017",15,15,10,14
"Gene5018",21,21,21,17
"Gene5019",15,18,10,8
"Gene5020",10,13,11,20
"Gene5021",16,12,9,20
"Gene5022",5,10,21,30
"Gene5023",20,16,10,9
"Gene5024",12,14,21,17
"Gene5025",30,17,9,2
"Gene5026",7,5,22,16
"Gene5027",16,18,17,13
"Gene5028",24,10,15,4
"Gene5029",7,10,13,8
"Gene5030",25,11,13,6
"Gene5031",9,35,11,22
"Gene5032",5,7,21,18
"Gene5033",5,10,17,12
"Gene5034",12,3,5,9
"Gene5035",10,21,12,7
"Gene5036",11,8,16,15
"Gene5037",18,8,12,10
"Gene5038",9,20,12,11
"Gene5039",17,7,3,11
"Gene5040",6,13,10,17
"Gene5041",13,16,21,7
"Gene5042",7,9,15,2
"Gene5043",11,8,31,7
"Gene5044",5,20,10,9
"Gene5045",9,24,12,8
"Gene5046",7,15,11,22
"Gene5047",4,11,22,10
"Gene5048",13,11,17,9
"Gene5049",8,9,17,6
"Gene5050",12,8,4,11
"Gene5051",9,10,23,6
"Gene5052",7,6,19,6
"Gene5053",48,22,3,11
"Gene5054",13,6,14,9
"Gene5055",16,3,10,9
"Gene5056",15,12,16,8
"Gene5057",14,18,29,13
"Gene5058",8,4,12,11
"Gene5059",15,6,3,12
"Gene5060",16,16,8,20
"Gene5061",7,15,18,6
"Gene5062",6,12,10,3
"Gene5063",8,13,13,14
"Gene5064",5,9,12,14
"Gene5065",8,18,11,12
"Gene5066",16,7,5,15
"Gene5067",11,8,28,6
"Gene5068",6,10,9,5
"Gene5069",9,19,9,5
"Gene5070",13,8,23,13
"Gene5071",11,11,11,17
"Gene5072",15,5,9,4
"Gene5073",17,15,11,10
"Gene5074",4,8,14,10
"Gene5075",14,3,6,1
"Gene5076",13,20,6,12
"Gene5077",22,15,24,13
"Gene5078",12,12,16,10
"Gene5079",15,10,6,9
"Gene5080",16,5,9,13
"Gene5081",4,9,12,13
"Gene5082",10,9,24,24
"Gene5083",16,10,2,13
"Gene5084",12,6,13,8
"Gene5085",12,9,9,18
"Gene5086",6,11,17,17
"Gene5087",27,6,6,21
"Gene5088",14,11,16,13
"Gene5089",16,6,9,6
"Gene5090",8,12,7,10
"Gene5091",15,21,21,14
"Gene5092",8,16,13,15
"Gene5093",14,8,12,7
"Gene5094",12,14,6,11
"Gene5095",6,8,9,14
"Gene5096",16,12,10,41
"Gene5097",18,12,9,4
"Gene5098",4,12,11,13
"Gene5099",22,8,14,15
"Gene5100",8,8,17,5
"Gene5101",27,14,14,14
"Gene5102",19,16,11,6
"Gene5103",9,6,9,17
"Gene5104",9,18,13,10
"Gene5105",10,7,6,6
"Gene5106",12,9,10,20
"Gene5107",12,12,11,9
"Gene5108",9,19,12,9
"Gene5109",21,23,11,19
"Gene5110",11,16,9,21
"Gene5111",15,5,10,17
"Gene5112",2,7,11,11
"Gene5113",16,13,13,7
"Gene5114",7,3,15,12
"Gene5115",6,10,6,17
"Gene5116",4,12,18,7
"Gene5117",8,10,12,9
"Gene5118",11,14,27,15
"Gene5119",12,10,6,8
"Gene5120",15,23,10,8
"Gene5121",10,14,9,14
"Gene5122",6,33,5,13
"Gene5123",15,15,5,11
"Gene5124",7,23,12,28
"Gene5125",10,21,17,5
"Gene5126",18,14,17,12
"Gene5127",6,6,9,12
"Gene5128",7,7,4,9
"Gene5129",7,7,11,15
"Gene5130",7,20,9,15
"Gene5131",2,13,10,11
"Gene5132",11,25,5,10
"Gene5133",7,10,8,7
"Gene5134",7,4,17,12
"Gene5135",20,17,13,21
"Gene5136",10,14,17,10
"Gene5137",15,9,11,16
"Gene5138",10,12,7,24
"Gene5139",5,14,3,15
"Gene5140",12,5,8,13
"Gene5141",10,7,9,14
"Gene5142",9,7,18,10
"Gene5143",16,22,11,9
"Gene5144",22,5,15,9
"Gene5145",26,6,16,11
"Gene5146",12,7,11,16
"Gene5147",17,14,11,9
"Gene5148",6,20,4,17
"Gene5149",4,5,4,3
"Gene5150",17,17,19,13
"Gene5151",8,13,13,8
"Gene5152",7,15,8,4
"Gene5153",5,13,14,11
"Gene5154",6,10,17,12
"Gene5155",10,8,20,24
"Gene5156",6,21,8,14
"Gene5157",17,12,13,9
"Gene5158",16,18,17,3
"Gene5159",5,9,24,11
"Gene5160",20,4,5,13
"Gene5161",7,6,8,12
"Gene5162",11,8,5,20
"Gene5163",11,13,18,14
"Gene5164",21,10,7,22
"Gene5165",16,15,9,6
"Gene5166",11,24,12,5
"Gene5167",16,3,16,6
"Gene5168",26,25,12,17
"Gene5169",11,11,5,13
"Gene5170",6,22,7,19
"Gene5171",27,17,8,22
"Gene5172",12,10,22,11
"Gene5173",13,8,8,7
"Gene5174",8,21,6,8
"Gene5175",11,9,16,11
"Gene5176",11,4,6,8
"Gene5177",10,12,6,8
"Gene5178",15,12,19,11
"Gene5179",8,9,12,25
"Gene5180",2,11,5,12
"Gene5181",29,7,20,11
"Gene5182",9,9,16,15
"Gene5183",4,7,15,10
"Gene5184",26,11,4,18
"Gene5185",12,15,6,9
"Gene5186",4,15,9,11
"Gene5187",16,7,12,15
"Gene5188",9,17,7,11
"Gene5189",7,20,4,12
"Gene5190",15,6,8,13
"Gene5191",21,9,16,14
"Gene5192",24,21,8,9
"Gene5193",11,10,4,15
"Gene5194",14,13,16,31
"Gene5195",3,10,6,6
"Gene5196",8,9,21,8
"Gene5197",12,7,9,16
"Gene5198",11,10,5,11
"Gene5199",20,11,7,4
"Gene5200",8,13,17,9
"Gene5201",18,13,6,22
"Gene5202",2,19,12,9
"Gene5203",8,6,9,11
"Gene5204",14,14,17,15
"Gene5205",15,16,15,6
"Gene5206",14,6,5,17
"Gene5207",7,14,15,8
"Gene5208",22,7,7,3
"Gene5209",5,12,23,41
"Gene5210",16,13,6,10
"Gene5211",7,20,11,16
"Gene5212",5,9,27,5
"Gene5213",28,34,8,14
"Gene5214",17,21,20,7
"Gene5215",12,17,24,13
"Gene5216",16,11,12,24
"Gene5217",5,6,10,8
"Gene5218",18,13,11,16
"Gene5219",18,24,15,4
"Gene5220",3,12,22,14
"Gene5221",6,18,12,17
"Gene5222",8,20,11,11
"Gene5223",6,12,4,9
"Gene5224",28,12,16,9
"Gene5225",9,12,19,11
"Gene5226",16,15,32,10
"Gene5227",20,16,10,20
"Gene5228",11,9,18,17
"Gene5229",5,12,13,12
"Gene5230",8,19,17,10
"Gene5231",22,5,9,13
"Gene5232",13,10,12,15
"Gene5233",15,13,21,9
"Gene5234",8,8,8,14
"Gene5235",13,11,20,11
"Gene5236",11,10,18,12
"Gene5237",17,6,6,12
"Gene5238",13,16,23,9
"Gene5239",4,6,10,9
"Gene5240",13,18,23,8
"Gene5241",21,24,10,7
"Gene5242",8,8,20,20
"Gene5243",26,11,13,7
"Gene5244",8,12,14,9
"Gene5245",5,10,10,13
"Gene5246",16,24,9,16
"Gene5247",19,9,13,11
"Gene5248",10,7,13,17
"Gene5249",10,11,14,11
"Gene5250",30,10,11,13
"Gene5251",10,12,9,18
"Gene5252",8,1,14,13
"Gene5253",14,12,4,12
"Gene5254",11,10,19,7
"Gene5255",4,15,11,9
"Gene5256",34,18,30,8
"Gene5257",14,7,11,13
"Gene5258",10,8,4,25
"Gene5259",9,11,19,13
"Gene5260",14,4,17,14
"Gene5261",10,9,14,3
"Gene5262",15,27,16,20
"Gene5263",10,21,16,9
"Gene5264",16,10,14,17
"Gene5265",12,25,22,11
"Gene5266",2,7,23,10
"Gene5267",9,11,9,12
"Gene5268",17,16,14,18
"Gene5269",12,21,16,6
"Gene5270",8,10,11,11
"Gene5271",14,16,14,15
"Gene5272",8,7,10,15
"Gene5273",18,12,16,18
"Gene5274",7,18,10,11
"Gene5275",8,9,10,14
"Gene5276",9,9,21,22
"Gene5277",16,20,8,18
"Gene5278",9,15,3,6
"Gene5279",22,6,7,7
"Gene5280",8,27,5,17
"Gene5281",22,14,17,11
"Gene5282",15,10,18,27
"Gene5283",6,16,13,18
"Gene5284",6,10,14,9
"Gene5285",21,11,15,11
"Gene5286",8,13,7,19
"Gene5287",19,10,16,15
"Gene5288",22,10,11,24
"Gene5289",7,6,15,11
"Gene5290",21,10,5,15
"Gene5291",11,12,10,12
"Gene5292",15,8,25,14
"Gene5293",7,13,14,17
"Gene5294",17,10,8,9
"Gene5295",6,6,13,14
"Gene5296",18,6,14,8
"Gene5297",7,13,5,12
"Gene5298",10,13,30,8
"Gene5299",3,12,11,7
"Gene5300",14,8,20,8
"Gene5301",16,11,8,5
"Gene5302",25,20,10,13
"Gene5303",9,11,8,7
"Gene5304",11,32,19,28
"Gene5305",12,10,10,18
"Gene5306",18,17,15,11
"Gene5307",6,8,24,11
"Gene5308",8,13,7,11
"Gene5309",9,19,17,8
"Gene5310",14,13,9,35
"Gene5311",2,5,13,21
"Gene5312",18,27,28,11
"Gene5313",15,26,10,10
"Gene5314",13,7,11,9
"Gene5315",7,12,12,6
"Gene5316",11,18,5,15
"Gene5317",4,8,10,12
"Gene5318",16,18,11,7
"Gene5319",10,11,13,13
"Gene5320",25,18,13,28
"Gene5321",16,19,14,18
"Gene5322",9,25,13,7
"Gene5323",20,24,24,8
"Gene5324",19,4,11,19
"Gene5325",13,9,18,11
"Gene5326",2,14,12,23
"Gene5327",14,21,15,12
"Gene5328",26,5,8,7
"Gene5329",5,7,11,25
"Gene5330",15,10,11,31
"Gene5331",19,11,10,16
"Gene5332",24,19,10,6
"Gene5333",9,11,14,9
"Gene5334",18,8,11,14
"Gene5335",10,24,26,8
"Gene5336",12,23,15,15
"Gene5337",11,17,6,9
"Gene5338",8,16,13,17
"Gene5339",4,9,7,12
"Gene5340",12,21,13,20
"Gene5341",10,8,6,16
"Gene5342",11,13,11,19
"Gene5343",15,19,10,8
"Gene5344",8,7,11,20
"Gene5345",6,8,3,12
"Gene5346",32,11,16,7
"Gene5347",8,9,7,18
"Gene5348",11,11,10,20
"Gene5349",7,13,21,20
"Gene5350",12,17,12,6
"Gene5351",17,19,12,14
"Gene5352",14,9,22,8
"Gene5353",20,14,2,26
"Gene5354",4,14,8,12
"Gene5355",5,19,8,10
"Gene5356",19,14,5,17
"Gene5357",18,10,7,11
"Gene5358",7,18,11,25
"Gene5359",16,15,15,13
"Gene5360",10,13,10,14
"Gene5361",13,20,9,17
"Gene5362",22,8,21,5
"Gene5363",8,13,15,15
"Gene5364",10,7,13,8
"Gene5365",13,15,12,15
"Gene5366",12,18,17,11
"Gene5367",11,16,11,11
"Gene5368",24,8,22,5
"Gene5369",12,15,12,11
"Gene5370",20,21,7,17
"Gene5371",25,10,9,3
"Gene5372",6,8,10,9
"Gene5373",17,10,8,9
"Gene5374",5,7,12,24
"Gene5375",17,26,10,11
"Gene5376",21,13,15,12
"Gene5377",18,15,13,9
"Gene5378",9,8,16,14
"Gene5379",12,7,27,11
"Gene5380",15,25,19,10
"Gene5381",8,9,14,8
"Gene5382",11,31,7,10
"Gene5383",6,18,13,4
"Gene5384",12,12,11,5
"Gene5385",16,4,20,7
"Gene5386",6,9,4,7
"Gene5387",7,16,8,7
"Gene5388",14,17,17,11
"Gene5389",15,6,18,25
"Gene5390",16,3,13,14
"Gene5391",12,9,19,13
"Gene5392",23,9,11,5
"Gene5393",8,21,10,12
"Gene5394",6,9,20,13
"Gene5395",13,13,10,5
"Gene5396",9,4,11,17
"Gene5397",9,10,13,21
"Gene5398",16,14,14,9
"Gene5399",10,6,11,7
"Gene5400",11,13,9,19
"Gene5401",12,7,14,31
"Gene5402",19,8,13,8
"Gene5403",20,12,15,15
"Gene5404",7,15,16,5
"Gene5405",11,38,11,9
"Gene5406",12,17,12,12
"Gene5407",19,10,13,18
"Gene5408",14,15,10,19
"Gene5409",11,15,18,14
"Gene5410",5,11,16,30
"Gene5411",16,11,6,6
"Gene5412",16,11,15,15
"Gene5413",8,15,11,18
"Gene5414",7,9,26,5
"Gene5415",8,21,12,8
"Gene5416",17,29,17,6
"Gene5417",8,13,23,6
"Gene5418",17,13,8,3
"Gene5419",3,17,15,8
"Gene5420",10,8,16,20
"Gene5421",28,7,4,17
"Gene5422",8,3,16,26
"Gene5423",13,6,12,11
"Gene5424",10,6,9,13
"Gene5425",16,16,8,23
"Gene5426",15,17,16,21
"Gene5427",23,12,13,19
"Gene5428",13,30,21,12
"Gene5429",8,5,19,16
"Gene5430",9,14,21,12
"Gene5431",8,6,8,13
"Gene5432",17,8,6,8
"Gene5433",9,18,6,11
"Gene5434",8,21,10,10
"Gene5435",8,20,10,14
"Gene5436",11,11,9,8
"Gene5437",10,8,9,6
"Gene5438",7,7,24,5
"Gene5439",14,8,32,15
"Gene5440",14,10,8,21
"Gene5441",14,9,15,16
"Gene5442",7,15,8,11
"Gene5443",14,16,4,17
"Gene5444",18,16,8,23
"Gene5445",10,5,9,15
"Gene5446",11,9,17,14
"Gene5447",11,5,18,14
"Gene5448",6,18,3,10
"Gene5449",16,22,9,7
"Gene5450",22,11,20,7
"Gene5451",4,4,9,14
"Gene5452",1,20,23,12
"Gene5453",4,9,13,6
"Gene5454",5,12,9,12
"Gene5455",6,16,7,13
"Gene5456",18,11,14,9
"Gene5457",22,17,16,8
"Gene5458",9,15,7,7
"Gene5459",15,16,7,14
"Gene5460",9,5,11,9
"Gene5461",19,5,10,11
"Gene5462",19,16,8,10
"Gene5463",16,11,4,15
"Gene5464",14,8,31,5
"Gene5465",12,4,15,16
"Gene5466",13,7,29,15
"Gene5467",15,14,9,17
"Gene5468",7,9,18,16
"Gene5469",5,13,25,3
"Gene5470",13,7,17,8
"Gene5471",2,5,13,15
"Gene5472",11,23,11,12
"Gene5473",7,14,8,12
"Gene5474",8,21,14,17
"Gene5475",30,22,14,17
"Gene5476",18,10,11,10
"Gene5477",8,10,19,17
"Gene5478",6,20,5,10
"Gene5479",7,12,9,11
"Gene5480",27,18,16,8
"Gene5481",25,11,17,15
"Gene5482",9,19,22,3
"Gene5483",13,16,12,11
"Gene5484",9,9,7,18
"Gene5485",6,13,11,10
"Gene5486",2,13,14,12
"Gene5487",8,10,17,7
"Gene5488",5,10,24,11
"Gene5489",10,12,13,10
"Gene5490",6,15,7,9
"Gene5491",9,15,14,12
"Gene5492",14,7,19,10
"Gene5493",8,19,10,7
"Gene5494",4,4,17,12
"Gene5495",9,13,12,22
"Gene5496",9,14,7,19
"Gene5497",2,15,7,4
"Gene5498",15,34,15,5
"Gene5499",4,8,8,5
"Gene5500",17,10,11,7
"Gene5501",17,17,9,29
"Gene5502",22,16,11,12
"Gene5503",18,17,8,8
"Gene5504",12,10,9,14
"Gene5505",18,6,20,8
"Gene5506",3,10,12,14
"Gene5507",12,20,21,29
"Gene5508",17,8,16,2
"Gene5509",6,19,16,13
"Gene5510",11,26,13,9
"Gene5511",25,15,17,13
"Gene5512",26,14,12,14
"Gene5513",11,28,24,11
"Gene5514",16,14,16,4
"Gene5515",8,7,11,11
"Gene5516",6,13,11,10
"Gene5517",18,6,25,12
"Gene5518",18,11,24,24
"Gene5519",11,15,17,11
"Gene5520",11,2,13,11
"Gene5521",8,10,11,18
"Gene5522",6,8,8,9
"Gene5523",10,15,7,14
"Gene5524",4,13,9,9
"Gene5525",11,9,4,5
"Gene5526",8,10,14,5
"Gene5527",4,9,12,18
"Gene5528",7,10,17,8
"Gene5529",16,7,8,22
"Gene5530",8,13,20,5
"Gene5531",14,27,12,9
"Gene5532",15,24,12,7
"Gene5533",17,21,7,6
"Gene5534",6,19,8,22
"Gene5535",3,13,12,12
"Gene5536",6,5,14,18
"Gene5537",6,11,27,10
"Gene5538",12,36,3,20
"Gene5539",8,11,18,21
"Gene5540",8,13,13,10
"Gene5541",18,10,8,12
"Gene5542",6,9,10,7
"Gene5543",13,13,10,14
"Gene5544",2,7,3,4
